run_at_utc,week,agency_folder,agency_id,status,failure_stage,failure_reason,gold_row_count,extracted_row_count,row_count_match,title_match_rate,dollar_total_gold,dollar_total_extracted,dollar_pct_error,elapsed_seconds
20260521T1021Z,w1626,2026 03 07 - lcwsa.net_cip_2026-2030,lcwsa.net_cip_2026-2030,failed,test_run,"ne 159, in process
    print(f""         ID={r.get('Project_Number_Primary','?')}  Total=${r.get('Total_Project_Budget',0):,.0f}"")
                                                                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
ValueError: Unknown format code 'f' for object of type 'str'
",197,,,,,,,87.4
20260521T1022Z,w1626,2026 04 04 - flyabe.com_cip_2024-2028,flyabe.com_cip_2024-2028,ok,,,77,26,no,0.545,85841913.0,2024.0,1.0,124.2
20260521T1024Z,w1626,2026 04 07 - cityofplacerville.org_cip_2026-2026,cityofplacerville.org_cip_2026-2026,ok,,,10,8,no,0.8,0.0,383720.0,,76.4
20260521T1026Z,w1626,2026 04 07 - co.marathon.wi.us_cip_2026-2030_proposed,co.marathon.wi.us_cip_2026-2030_proposed,ok,,,137,1200,no,0.701,0.0,223782953.56,,310.6
20260521T1031Z,w1626,2026 04 09 - midpeninsulawater.org_cip_2026-2026,midpeninsulawater.org_cip_2026-2026,ok,,,13,11,no,0.692,21293806.0,114917606.0,4.3968,111.5
20260521T1033Z,w1626,2026 04 09 - swbno.org_cip_2025-2034,swbno.org_cip_2025-2034,ok,,,151,87,no,0.0,391437216.0,1205991444.0,2.0809,153.8
20260521T1035Z,w1626,2026 04 14 - kingcounty.gov_tip_2025-2030,kingcounty.gov_tip_2025-2030,ok,,,38,38,yes,0.447,0.0,299850812.0,,128.2
20260521T1038Z,w1626,2026 04 14 - revere.org_cip_2026-2030,revere.org_cip_2026-2030,ok,,,118,31,no,0.0,0.0,52280.0,,162.0
20260521T1040Z,w1626,2026 04 15 - greenvillenc.gov_cip_2026-2030,greenvillenc.gov_cip_2026-2030,ok,,,65,13,no,0.0,313728916.0,36478205.47,0.8837,110.9
20260521T1042Z,w1626,2026 04 15 - mendocinocounty.org_cip_2026-2026,mendocinocounty.org_cip_2026-2026,ok,,,48,378,no,0.0,4925963.94,558210553.0,112.3201,492.9
20260521T1051Z,w1626,2026 04 16 - mvk.usace.army.mil_cip_2026-2027,mvk.usace.army.mil_cip_2026-2027,ok,,,8,4,no,0.0,0.0,12000000.0,,76.9
20260521T1052Z,w1626,2026 04 18 - cityofsouthfultonga.gov_cip_2026-2030,cityofsouthfultonga.gov_cip_2026-2030,ok,,,27,28,yes,0.0,77515293.0,0.0,1.0,174.5
20260521T1055Z,w1726,2026 03 12 - sbtnj.net_cip_2025-2030,sbtnj.net_cip_2025-2030,ok,,,19,21,no,0.0,39214401.0,78428802.0,1.0,109.0
20260521T1057Z,w1726,2026 03 23 - westerville.org_cip_2025-2029,westerville.org_cip_2025-2029,ok,,,188,386,no,0.064,62764700.0,12885460.0,0.7947,199.2
20260521T1100Z,w1726,2026 03 31 - cityofrockledge.org_cip_2026-2030,cityofrockledge.org_cip_2026-2030,ok,,,56,0,no,0.0,82817259.0,0,1.0,97.2
20260521T1102Z,w1726,2026 04 02 - kinggeorgecountyva.gov_cip_2026-2026,kinggeorgecountyva.gov_cip_2026-2026,ok,,,10,11,no,0.3,3452903.0,3452903.0,0.0,50.3
20260521T1103Z,w1726,2026 04 04 - fmwd.com_cip_2026-2045,fmwd.com_cip_2026-2045,ok,,,53,101,no,0.906,35631749.0,4.247521438680728e+70,1.192060888922609e+63,93.2
